timestamp,x,y,z
1.938,0.0000,0.0000,0.0000
3.462,0.0000,0.0000,0.0000
3.526,0.0000,0.0000,0.0000
3.587,0.0000,0.0000,0.0000
3.667,0.0000,0.0000,0.0000
3.733,0.0000,0.0000,0.0000
3.793,0.0000,0.0000,0.0000
3.855,0.0000,0.0000,0.0000
3.915,0.0000,0.0000,0.0000
3.982,0.0000,0.0000,0.0000
4.044,0.0000,0.0000,0.0000
4.104,0.0000,0.0000,0.0000
4.165,0.0000,0.0000,0.0000
4.234,0.0000,0.0000,0.0000
4.295,0.0000,0.0000,0.0000
4.356,0.0000,0.0000,0.0000
4.418,0.0000,0.0000,0.0000
4.488,0.0000,0.0000,0.0000
4.550,0.0000,0.0000,0.0000
4.612,0.0000,0.0000,0.0000
4.675,0.0000,0.0000,0.0000
4.742,0.0000,0.0000,0.0000
4.803,0.0000,0.0000,0.0000
4.865,0.0000,0.0000,0.0000
4.927,0.0000,0.0000,0.0000
4.992,0.0000,0.0000,0.0000
5.055,0.0000,0.0000,0.0000
5.118,0.0000,0.0000,0.0000
5.179,0.0000,0.0000,0.0000
5.245,0.0000,0.0000,0.0000
5.304,0.0000,0.0000,0.0000
5.364,0.0000,0.0000,0.0000
5.424,0.0000,0.0000,0.0000
5.489,0.0000,0.0000,0.0000
5.548,0.0000,0.0000,0.0000
5.609,0.0000,0.0000,0.0000
5.671,0.0000,0.0000,0.0000
5.740,0.0000,0.0000,0.0000
5.802,0.0000,0.0000,0.0000
5.863,0.0000,0.0000,0.0000
5.925,0.0000,0.0000,0.0000
5.991,0.0000,0.0000,0.0000
6.052,0.0000,0.0000,0.0000
6.112,0.0000,0.0000,0.0000
6.176,0.0000,0.0000,0.0000
6.252,0.0000,0.0000,0.0000
6.313,0.0000,0.0000,0.0000
6.376,0.0000,0.0000,0.0000
6.446,0.0000,0.0000,0.0000
6.513,0.0000,0.0000,0.0000
6.576,0.0000,0.0000,0.0000
6.645,0.0000,0.0000,0.0000
6.709,0.0000,0.0000,0.0000
6.786,0.0000,0.0000,0.0000
6.847,0.0000,0.0000,0.0000
6.909,0.0000,0.0000,0.0000
