sensor,true_distance_mm,sample_id,reading_mm
Right,600,53,601.8
Right,600,54,598.8
Right,600,55,611.8
Right,600,56,607.5
Right,600,57,599.3
Right,600,58,603.3
Right,600,59,605.6
Right,600,60,603.9
Right,600,61,615.0
Right,600,62,603.5
Right,600,63,613.8
Right,600,64,612.3
Right,600,65,616.7
Right,600,66,600.9
Right,600,67,607.5
Right,600,68,610.8
Right,600,69,604.9
Right,600,70,611.7
Right,600,71,613.4
Right,600,72,611.7
Right,600,73,605.9
Right,600,74,609.1
Right,600,75,595.7
Right,600,76,597.8
Right,600,77,601.9
Right,600,78,604.1
Right,600,79,603.6
Right,600,80,597.0
Right,600,81,610.9
Right,600,82,589.5
Right,600,83,597.3
Right,600,84,621.8
Right,600,85,602.9
Right,600,86,616.4
Right,600,87,601.6
Right,600,88,610.5
Right,600,89,602.9
Right,600,90,604.9
Right,600,91,597.8
Right,600,92,590.6
Right,600,93,598.2
Right,600,94,602.9
Right,600,95,593.2
Right,600,96,598.5
Right,600,97,596.4
Right,600,98,607.7
Right,600,99,601.3
Right,600,100,605.8
Right,1000,1,1005.0
Right,1000,2,1004.7
Right,1000,3,999.9
Right,1000,4,1000.9
Right,1000,5,1004.0
Right,1000,6,998.8
Right,1000,7,996.9
Right,1000,8,994.1
Right,1000,9,1021.4
Right,1000,10,1015.8
Right,1000,11,1015.7
Right,1000,12,1006.0
Right,1000,13,993.9
Right,1000,14,995.0
Right,1000,15,1006.4
Right,1000,16,1010.2
Right,1000,17,999.5
Right,1000,18,1011.6
Right,1000,19,1018.0
Right,1000,20,1000.2
Right,1000,21,1019.5
Right,1000,22,1019.3
Right,1000,23,996.9
Right,1000,24,1013.3
Right,1000,25,1026.4
Right,1000,26,1008.8
Right,1000,27,1007.5
Right,1000,28,1004.0
Right,1000,29,1016.1
Right,1000,30,998.3
Right,1000,31,995.3
Right,1000,32,1000.0
Right,1000,33,1004.6
Right,1000,34,1025.4
Right,1000,35,1011.3
Right,1000,36,1024.2
Right,1000,37,1002.7
Right,1000,38,1008.4
Right,1000,39,1020.9
Right,1000,40,1017.3
Right,1000,41,997.2
Right,1000,42,997.1
Right,1000,43,1012.0
Right,1000,44,991.4
Right,1000,45,1001.8
Right,1000,46,994.3
Right,1000,47,1008.3
Right,1000,48,999.4
Right,1000,49,1007.6
Right,1000,50,997.6
Right,1000,51,1024.5
Right,1000,52,995.6
Right,1000,53,1018.0
Right,1000,54,1006.7
Right,1000,55,1004.0
Right,1000,56,1006.8
Right,1000,57,998.5
Right,1000,58,1007.8
Right,1000,59,1003.3
Right,1000,60,1011.0
Right,1000,61,1000.3
Right,1000,62,997.1
Right,1000,63,1009.2
Right,1000,64,1002.5
Right,1000,65,1018.2
Right,1000,66,1024.5
Right,1000,67,1004.4
Right,1000,68,1005.2
Right,1000,69,992.9
Right,1000,70,1010.9
Right,1000,71,1001.7
Right,1000,72,1003.7
Right,1000,73,1017.0
Right,1000,74,1017.6
Right,1000,75,1004.0
Right,1000,76,1007.7
Right,1000,77,1006.1
Right,1000,78,1007.9
Right,1000,79,1032.5
Right,1000,80,1002.2
Right,1000,81,1012.5
Right,1000,82,1014.6
Right,1000,83,1010.7
Right,1000,84,1002.8
Right,1000,85,1008.2
Right,1000,86,1011.2
Right,1000,87,1017.2
Right,1000,88,1002.4
Right,1000,89,1028.1
Right,1000,90,1010.0
Right,1000,91,1007.2
Right,1000,92,987.5
Right,1000,93,982.3
Right,1000,94,991.7
Right,1000,95,1003.0
Right,1000,96,1015.2
Right,1000,97,1006.4
Right,1000,98,1022.1
Right,1000,99,1023.5
